site,lon,lat,Eh,V,Ni,Ba
22G-32,112.84,30.2,-53,0.64,4.27,277.26
12JH093,112.85,29.94,-218.5,0.01,2.09,184.509288585422
22G-33,112.85,30.25,-93.5,0.47,4.7,243.01
22G-23,112.87,29.76,-111,0.521377916987859,6.09,316.23
22G-47,112.87,30.36,-71,0.16,2.76,289.25
22G-38,112.88,30.29,-90.5,0.91,5.28,219.31
18S-09G,112.89,29.62,138,0.843078608391515,1.07,94.4
18S-11G,112.9,29.71,-93,0.3,0.72,161
18S-12G,112.9,29.76,-117,0.48,0.93,413
22G-05,112.9,29.85,-95,0.6,4.23,288.83
22G-35,112.91,30.46,87.9,0.804421895944854,6.32,143.49
22G-21,112.92,29.53,-22.4,0.179724910577402,5.05,147.5
18S-10G,112.92,29.67,-112,0.669925787051708,3.77,242
22G-34,112.92,30.42,-75.9,0.92,4.13,235.87
22G-18,112.95,29.64,-21.4,1.09,5.42,175.97
18G-34,112.96,29.56,-148,0.23,0.97,327.15
22G-19,112.96,29.6,-114.8,0.63,4.62,221.74
22G-13,112.96,29.75,-77.5,1.2,5.28,205.88
12JH113,112.96,30.03,-278.3,0.12,2.36,118.568949516286
22G-48,112.96,30.35,-69.9,0.33,3.28,334.83
22G-20,112.97,29.52,-124,0.09,7.03,370.84
22G-08,112.97,29.85,-60.9,0.57,4.06,128.7
12JH109,112.97,29.92,-166.3,0,2.26,140.264002225174
18S-06G,112.98,29.47,-121,0.69,2.95,421
22G-52,112.98,30.09,-75,0.11,3.64,104.32
22G-42,112.98,30.4,-93.8,1.44,4.32,314.24
22G-49,112.99,30.26,-120.4,0.11,4.73,165.58
18G-31,113,29.63,-153,0.27,2.14,732.86
22G-17,113,29.67,-130.9,0.33,5.03,236.84
22G-39,113.01,30.18,-67.6,0.31,3.56,412.14
11JH084,113.01,30.4,-65.0990489783707,0.29,0.77,162.38
22G-43,113.01,30.47,-81.2,0.59,3.85,68.17
12JH163,113.02,29.55,-135.8,0.07,3.62,430.358550184073
22G-09,113.03,29.86,-58.5,0.52,3.64,52.46
18S-03G,113.04,29.45,-164,0.37,0.64,686
18S-04G,113.04,29.49,-37.5,0.12,0.53,304
22G-14,113.04,29.78,-48.5,0.22,4.19,78.96
12JH130,113.05,29.9,-1.9,0.129147808869627,2.27,149.921817478698
22G-51,113.05,30.14,-83.8,0.203252786727869,1.78,0.04
22G-44,113.05,30.41,-61.3,0.42,3.73,260.59
22G-12,113.06,29.96,-86.4,0.09,3.28,180.59
12JH135,113.08,29.85,-116.3,0.492554102271783,1.97,63.6544454599656
22G-50,113.08,30.28,-72.8,0.35,3.01,266.46
22G-53,113.09,30.01,-81.8,0.4,3.77,171.45
22G-45,113.09,30.46,-52.6,0.55,3.46,195.07
18G-35,113.1,29.57,-155,0.42,1.49,546.54
22G-61,113.1,30.12,-94.7,0.21,3.67,241.32
22G-15,113.11,29.69,-104.6,0.6,3.6,155.05
12JH129,113.11,29.92,45.1,0.347472765722308,2.02,96.9377457239276
22G-11,113.12,29.95,-67.8,0.36,4.04,99.79
12JH121,113.13,30.06,-50,0.259440920146769,1.6,203.236354001275
22G-40,113.14,30.2,-70,0.54,4.35,372.7
22G-46,113.14,30.38,-59.5,0.67,4.04,243.38
12JH133,113.15,29.91,-51.6,0.269570533393619,1.92,71.1197060225961
22G-41,113.15,30.26,8.9,0.45438264974831,5.32,850.87
22G-16,113.16,29.53,-97.3,0.320516990312126,0.55,0.01
22G-10,113.16,29.96,-91.6,0.29,2.86,50.68
12JH145,113.17,29.71,-1.6,1.27,2.51,166.341293440982
22G-55,113.2,29.94,-57.8,0.26,3.52,74.12
22G-54,113.2,30.04,-75.7,0.23,3.66,125.7
22G-62,113.22,30.38,-69.1,0.58,4.18,214.95
22G-60,113.23,30.19,-71.5,0.57,2.84,350.95
22G-59,113.24,30.1,-94.4,0.6,3.68,395.58
18G-11,113.26,29.61,-83.2,0.05,0.06,275.26
11JH097,113.27,30.23,-68.7487542966848,0.24,1.27,581.77
12JH148,113.28,29.64,-56.1,0.47,2.45,275.132405576376
22G-56,113.3,30.05,-57.9,0.37,3.43,180.57
11JH077,113.33,30.39,-64.9469701534365,0.12,0.6,227.48
18G-08,113.37,29.73,157,0.4,0.35,192.97
11JH073,113.38,30.24,-77.2457516302206,0.3,1.45,288.87
11JH164,113.39,30.07,-77.5002060879535,0.08,0.59,157.01
11JH071,113.41,30.18,-96.0149262838318,0.12,0.71,182.56
11JH167,113.43,30.06,-97.1348638991901,0.11,0.54,479.49
22G-58,113.46,30.07,-97.5,0.283757094565016,0.31,0.05
11JH070,113.47,30.16,-95.5355604164684,0.28,1.33,555.41
18G-05,113.51,29.84,87.5,0.04,0.31,59.45
22G-57,113.51,30.06,-92.4,0.37,4.66,445.53
11JH050,113.54,30.39,-87.7850128989087,0.15,0.95,253.26
22G-70,113.56,29.88,-50.4,0.0558746079039024,8.39,58.55
22G-64,113.59,30.34,-96,0.8,4.96,241.64
18G-03,113.61,29.94,-42.7,0.07,1.62,289.92
11JH065,113.61,30.13,-58.2914707090197,0.13,0.75,279.69
11JH035,113.61,30.18,-54.3,0.11,1.5,410.02
22G-65,113.61,30.39,-75.9,0.59,3.77,180.72
11JH062,113.63,30.33,-83.0045321545883,0.87,1.32,171.78
